v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v170,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v244,v301,v312,v313,v361,v364,v393,v394,v501,v502,v513,v525,v527,v528,v529,v530,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
1.0,2.0,0.0,2.0,21.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,32.0,31.0,2.0,12.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,60.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,-2924.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,305.0,31.0,5.0,0.0,15.0,0.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,
1.0,2.0,10.0,0.0,21.0,10.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,31.0,2.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,30978.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,101.0,1.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,15.0,311.0,31.0,996.0,9.0,15.0,0.0,2.0,2.0,4.0,96.0,7.0,0.0,1.0,0.0,1.0,96.0,96.0,96.0,25.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,2.0,21.0,80.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,32.0,31.0,2.0,7.0,1.0,7.0,1.0,2.0,1.0,2.0,3.0,8.0,2.0,38.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,14845.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,402.0,31.0,24.0,0.0,15.0,0.0,3.0,1.0,3.0,6.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,1.0,
1.0,2.0,95.0,0.0,21.0,996.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,31.0,2.0,0.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,-31437.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,117.0,1.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,8.0,3.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,2.0,4.0,17.0,311.0,31.0,997.0,3.0,17.0,0.0,2.0,3.0,5.0,6.0,6.0,0.0,8.0,0.0,8.0,3.0,3.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0
3.0,2.0,95.0,1.0,21.0,996.0,31.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,21.0,31.0,1.0,4.0,1.0,4.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,39.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,3.0,34597.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,301.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,15.0,102.0,2.0,0.0,0.0,15.0,6.0,1.0,1.0,2.0,6.0,6.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0
3.0,2.0,10.0,0.0,21.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,12.0,4.0,0.0,1.0,9.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,-107576.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,995.0,0.0,2.0,7.0,7.0,6.0,7.0,995.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,15.0,401.0,31.0,996.0,9.0,14.0,3.0,2.0,1.0,3.0,96.0,7.0,2.0,3.0,2.0,3.0,96.0,96.0,96.0,29.0,0.0,0.0,0.0,1.0,
3.0,2.0,95.0,1.0,21.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,21.0,31.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,-64039.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,325.0,0.0,4.0,2.0,2.0,2.0,2.0,995.0,9.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,13.0,401.0,31.0,997.0,2.0,13.0,0.0,3.0,1.0,2.0,96.0,7.0,2.0,3.0,2.0,3.0,96.0,96.0,96.0,20.0,0.0,0.0,0.0,1.0,
3.0,2.0,16.0,0.0,21.0,5.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,32.0,31.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,34.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,3.0,56186.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,16.0,103.0,3.0,0.0,0.0,16.0,0.0,1.0,1.0,2.0,6.0,6.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,20.0,1.0,0.0,0.0,1.0,
3.0,2.0,95.0,1.0,21.0,10.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,12.0,1.0,5.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,25.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,2.0,-64233.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,103.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,104.0,4.0,0.0,0.0,16.0,0.0,1.0,2.0,4.0,96.0,7.0,0.0,3.0,0.0,3.0,96.0,96.0,96.0,20.0,0.0,0.0,0.0,1.0,
3.0,2.0,8.0,0.0,21.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,31.0,4.0,0.0,1.0,5.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,-86701.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,401.0,0.0,2.0,3.0,3.0,3.0,4.0,12.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,18.0,106.0,6.0,0.0,0.0,18.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,29.0,1.0,0.0,0.0,1.0,1.0
